,ticker,exchange,assetType,priceCurrency,startDate,endDate
386,000831,SHE,Stock,CNY,2018-01-02,2020-06-19
387,000832,SHE,Stock,CNY,,
388,000833,SHE,Stock,CNY,2018-01-01,2020-06-19
389,000835,SHE,Stock,CNY,2000-01-03,2020-06-19
390,000836,SHE,Stock,CNY,2018-01-02,2020-06-19
391,000837,SHE,Stock,CNY,2018-01-02,2020-06-19
392,000838,SHE,Stock,CNY,2018-01-01,2020-06-19
393,000839,SHE,Stock,CNY,2000-01-03,2020-06-19
394,000848,SHE,Stock,CNY,2018-01-01,2020-06-19
395,000850,SHE,Stock,CNY,2018-01-01,2020-06-19
396,000851,SHE,Stock,CNY,2018-01-02,2020-06-19
397,000852,SHE,Stock,CNY,2000-01-03,2020-06-19
398,000856,SHE,Stock,CNY,2000-01-03,2020-06-19
399,000858,SHE,Stock,CNY,2018-01-01,2020-06-19
400,000859,SHE,Stock,CNY,2018-01-01,2020-06-19
401,000860,SHE,Stock,CNY,2000-01-03,2020-06-19
402,000861,SHE,Stock,CNY,2018-01-01,2020-06-19
403,000862,SHE,Stock,CNY,2018-01-02,2020-06-19
404,000863,SHE,Stock,CNY,2018-01-02,2020-06-19
405,000866,SHE,Stock,CNY,,
406,000868,SHE,Stock,CNY,2018-01-02,2020-06-19
407,000869,SHE,Stock,CNY,2018-01-01,2020-06-19
408,000875,SHE,Stock,CNY,2007-08-30,2020-06-19
409,000876,SHE,Stock,CNY,2018-01-01,2020-06-19
410,000877,SHE,Stock,CNY,2018-01-01,2020-06-19
411,000878,SHE,Stock,CNY,2018-01-02,2020-06-19
412,000880,SHE,Stock,CNY,2018-01-01,2020-06-19
413,000881,SHE,Stock,CNY,2000-01-03,2020-06-19
414,000882,SHE,Stock,CNY,2018-01-02,2020-06-19
415,000883,SHE,Stock,CNY,2018-01-01,2020-06-19
416,000885,SHE,Stock,CNY,2018-01-01,2020-06-19
417,000886,SHE,Stock,CNY,2018-01-01,2020-06-19
418,000887,SHE,Stock,CNY,2018-01-01,2020-06-19
419,000888,SHE,Stock,CNY,2018-01-01,2020-06-19
420,000889,SHE,Stock,CNY,2015-01-05,2020-06-19
421,000890,SHE,Stock,CNY,2018-01-02,2020-06-19
422,000892,SHE,Stock,CNY,2008-04-24,2020-06-19
423,000893,SHE,Stock,CNY,2018-01-02,2020-06-19
424,000895,SHE,Stock,CNY,2018-01-01,2020-06-19
425,000897,SHE,Stock,CNY,2018-01-02,2020-06-19
426,000898,SHE,Stock,CNY,2018-01-01,2020-06-19
427,000899,SHE,Stock,CNY,2018-01-01,2020-06-19
428,000900,SHE,Stock,CNY,2017-10-26,2020-06-19
